Quantification Ion	Retention Index	Name	units	a332129	a332133	a332137	a332141	a332145	a332149	a332153	a332157	a332161	a332165	a332169	a332173	a332181	a332185	a332189	a332193	a332197	a332201	a332205	a332209	a332217	a332221	a332225	a332229	a332233	a332237	a332241	a332245	a332249	a332253	a332257	a332261	a332265	a332269	a332273	a332277	a332281	a332285	a332289	a332293	a332297	a332301	a332305	a332309	a332313	a332317	a332321	a332325	a332329	a332333	a332337	a332341	a332345	a332349	a332353	a332361	a332365	a332369	a332373	a332381	a332385	a332389	a332393	a332397	a332401	a332405	a332409	a332413	a332417	a332421	a332429	a332437	a332445	a332449	a332457	a332461	a332469	a332477	a332481	a332485	a332489	a332493	a332497	a332501	a332505	a332509	a332513	a332525	a332529	a332533	a332537	a332541	a332545	a332549	a332553	a332557	a332561	a332565	a332569	a332577	a332581	a332585	a332589	a332593	a332597	a332601	a332605	a332609	a332613	a332617	a332625	a332629	a332633	a332637	a332641	a332645	a332649	a332653	a332657	a332661	a332665	a332669	a332673	a332677	a332685
*139*	663316	222067	peak area	5429	11356	9529	1724	1413	6038	13287	3150	1842	936	973	3902	285	6236	8213	3520	1989	1639	3356	2829	159	698	87	1607	426	74	99	72	45	43	317	207	216	603	912	1233	824	786	1551	621	39	1542	143	142	2326	901	492	247	152	1304	27	8122	2604	63	8123	4827	4002	232	3305	467	2193	1480	338	1229	900	2055	4464	6930	13200	6733	7900	221	2148	198	733	265	9650	3348	4249	7342	8030	366	284	88	185	431	185	6478	288	5654	301	3300	6115	302	1935	2464	3490	1102	725	740	1689	4337	12186	1942	4166	3763	1403	2896	1292	1052	1465	814	3098	11109	61	3194	3286	5332	3552	197	1783	1788	162	255	944
*98*	874914	222066	peak area	11061	2625	11616	11672	3518	12963	7506	20764	9336	2863	4521	1939	5657	3595	898	7571	12711	699	4951	4995	14295	3008	6883	2744	3639	6248	447	3057	695	1789	4401	2962	3983	2308	2378	12670	2958	12418	1310	2504	1053	3409	2889	2301	4485	2706	2395	2444	3080	2424	1288	5749	3553	4838	8368	1112	6150	3849	4241	4439	5425	255	1841	3878	4622	2162	3770	1214	5402	11096	3332	7395	5893	3111	3854	6858	5981	5951	10880	3380	8957	2477	3907	4122	6444	1445	2293	5792	892	7131	570	7996	2849	3227	3347	14303	5258	4114	30	9928	1356	1202	6118	5203	7058	14486	4048	4750	6255	5768	3357	4553	9112	5478	143	4643	19378	4560	10266	1896	1290	4335	1352	1428	4987
*269*	659546	222065	peak area	2124	2336	1176	1715	1822	2342	3181	182	250	180	105	142	251	1794	858	2808	2311	2085	1980	1903	105	169	718	74	156	171	1062	1271	1191	2264	1636	2997	2657	109	98	123	245	98	562	148	999	3516	3178	3347	2220	1675	1691	122	134	104	73	2446	2277	144	1264	2064	2131	1955	1189	136	198	121	113	95	342	132	2429	1235	1954	2065	2312	105	155	137	260	202	2478	1164	3139	3250	2078	80	232	188	172	129	85	1953	2189	1765	3264	2600	4324	111	386	167	174	167	226	2728	2242	2764	3548	3664	3369	2797	255	322	167	215	141	204	2650	2754	55	1967	4442	3593	2578	93	63	206	135	99	163
*232*	486618	222060	peak area	598	4121	1688	1464	173	858	417	91342	151800	55494	23679	75566	67463	1994	1478	2696	641	1765	1929	672	59467	25709	266513	78251	67540	38488	4280	22070	23535	22004	926	4936	4156	58333	85162	44003	128056	45525	1569	85087	18249	4236	3185	699	6522	1225	1433	66353	79211	25749	112137	819	760	117382	384	1078	731	9144	3681	114926	61849	32493	71586	53339	33112	65209	1307	9408	1055	603	617	44926	98127	26016	83971	64263	585	1764	3566	1754	1175	84037	70399	194022	80955	84215	67155	2450	3017	1437	2561	10441	4116	141915	140186	94617	64089	66848	19651	1775	1494	387	2167	933	654	1550	151960	210268	93983	123376	72112	69029	1522	744	174	7204	2199	794	1981	66798	172155	36365	33729	69218	78316
*191*	500999	222059	peak area	1574	2273	1975	2596	1445	3991	3694	2468	1968	1191	1139	1551	1113	1662	1649	5489	4969	3626	6461	2112	1948	824	4414	1498	1447	1949	2067	1638	1903	1322	2783	3445	2007	1287	782	1338	2736	1240	1197	1059	1972	2939	4029	4310	2665	2512	1595	2140	1597	1781	707	2946	3151	1988	1554	3617	3111	4781	2275	1358	1564	1154	1226	860	1804	1286	3277	1628	3104	2212	4200	1386	2423	1204	1764	1637	3441	1870	3068	3117	2849	885	1698	1657	2020	1680	984	3332	2007	2552	2861	4662	4299	1569	3600	2746	1938	1971	1969	1846	2749	2325	4144	2831	3413	3938	1602	2594	1205	1340	1139	1353	3691	4501	2637	2536	4058	4064	2511	955	1659	1137	568	895	1415
*366*	477647	222058	peak area	2996	3792	3453	3505	2205	6565	7215	4707	2339	1660	1853	2960	603	4310	3474	2696	2443	1352	3592	1571	1451	614	1528	1314	1431	712	1074	594	849	610	1421	1814	937	1534	1133	1730	3139	1653	1340	1245	485	1327	2378	1340	1758	1057	576	1255	832	1341	508	6143	2124	716	4422	3280	3509	2228	3672	1597	2602	2130	1200	1404	2714	2386	5015	3421	6112	5564	7941	1027	2071	1121	1686	1429	4724	1959	5235	3246	5476	899	1076	570	1708	1094	496	3087	1190	2246	1460	4431	5563	1017	4258	2495	2781	1747	12613	1808	2350	4066	2960	1120	1808	1892	3056	5110	1299	1902	2289	2331	2774	2404	4789	1239	2116	2162	2262	1072	2628	1336	591	1218	1440
*98*	858490	222056	peak area	4627	29027	17876	1772	3520	25657	105691	2974	36532	8853	9541	5953	26407	6210	3397	10661	2037	4797	7840	10335	18218	16155	2458	4671	2957	2828	1016	1115	757	787	2841	3221	1889	3159	7246	3058	7610	6967	5837	17841	2543	3070	2728	6904	3529	6071	3295	19089	1647	5987	8565	10545	9580	6102	12608	11186	8484	2784	9183	10861	5895	2671	4787	3674	326	2079	7589	4236	6925	927	94047	4319	8825	1837	1746	10677	150187	8874	8107	10841	9501	6526	22736	1611	4221	1602	1199	28601	16048	17057	10495	22026	83831	5715	2552	10986	7030	3198	12	721	9667	4193	4586	20777	11106	2147	4330	4805	628	5747	11685	8762	21713	12637	132	2971	8860	7607	3106	2494	4022	13335	251	2630	6259
*228*	301856	222054	peak area	2387	1067	1611	1078	1854	3067	920	1351	706	1378	1078	932	697	892	1367	3472	2872	2246	2101	2244	650	798	2362	438	522	1007	715	453	315	473	2152	1468	953	738	491	664	977	552	1136	657	773	460	1678	1049	975	891	963	1119	1190	773	885	1484	1109	1124	1351	3025	2409	3442	2432	1441	532	543	1364	573	827	653	2515	1343	1709	977	3916	879	693	799	605	985	2645	1738	1937	1635	2658	622	798	1028	1059	610	786	1602	1279	1898	2676	3909	4099	650	1148	1718	601	777	787	3052	2678	1948	3085	2073	2054	1597	1354	964	867	843	563	1359	2932	3347	1773	1745	2831	1243	2431	957	1031	498	555	983	781
*214*	412578	222051	peak area	4201	2662	3630	3832	3364	7040	5896	4852	2941	2490	2930	3058	1823	2096	1893	4286	2984	3461	4466	2601	1596	1554	119	1739	1209	2167	2269	1246	1786	1477	5401	4448	2261	2386	1680	2661	5115	2250	3094	1986	1126	3915	5934	3399	3614	3743	1814	3323	1528	1543	1517	2394	3202	2692	2340	4469	3145	2839	2317	3549	2785	2510	2774	1669	5022	3298	6233	2045	4820	3665	7379	2078	1525	1651	2188	2181	2936	1546	3009	4768	3003	1106	1404	1432	1502	1386	1069	2754	2367	2323	3293	4388	3991	1316	5439	3419	4232	2131	458	2948	2415	3409	3747	3439	2727	3693	3871	5610	1853	2583	1683	3481	3643	3930	5434	2089	3380	3300	2945	2466	2274	2306	1405	2384	2751
*223*	606068	222050	peak area	1791	8472	3980	2456	2242	7644	13738	7963	2433	958	1734	2082	4576	4255	2694	5819	6583	7878	9017	3838	455	2325	2958	2208	2890	2148	2694	1871	3340	3381	7769	4638	2828	2851	2625	2610	1460	1369	3510	2816	3219	2569	3327	6485	6712	987	4142	3725	2002	2602	832	11182	1602	331	4347	8488	2313	1300	958	401	3344	310	1723	4083	3194	2263	8220	4406	960	10767	6466	3412	3944	1641	3863	8736	4803	3668	5746	6005	2832	1499	2526	2393	2698	4043	1519	932	3522	9681	4133	6609	6640	2594	5634	4074	3171	1915	3545	10484	1466	4145	6067	7844	827	1118	2539	3846	3168	4181	1238	4667	2658	6330	3828	2242	5100	2610	4042	2298	1610	2117	1093	1708	3331
*117*	701919	222049	peak area	5745	13206	5717	7852	4190	7000	15097	2965	1200	1254	2096	4409	3043	6872	4525	14298	7666	10103	10240	7961	2203	1172	16209	1823	2248	12092	3543	2687	2233	3036	15041	3648	3201	1685	1327	880	10411	2487	2839	3090	3906	4243	3842	4467	7282	4394	3476	5012	1959	847	2366	2879	8182	2424	9631	10404	3198	4146	3741	2529	2889	3076	1933	947	7567	2082	8825	6321	5750	2707	8513	1828	3060	1386	2458	1600	4830	6062	10181	8076	4607	898	583	1037	2416	1975	1935	5951	4035	7245	7030	10629	8613	2517	3426	2329	5224	1714	5284	1896	5378	2783	14432	10131	5467	6508	3921	1458	1750	5426	3364	2525	3984	8216	14374	5340	4493	4121	2656	2998	1009	2879	1931	2262	2380
*191*	366360	222047	peak area	4692	4946	112	5679	2953	5944	16737	3408	20032	2800	2629	3198	769	2425	7085	7466	6513	5898	5075	1536	5387	3280	918	2940	3708	4645	2609	2106	2333	2372	5862	5236	3123	2661	2193	3610	6026	2816	2927	4676	3092	4639	5581	7188	4186	3753	2896	3201	2040	3719	2748	13926	45075	4581	4279	5401	10670	4211	2992	4095	16664	2195	3237	9679	4887	4753	5554	1934	8596	29418	4722	1608	4625	1530	8795	3836	3256	2692	3514	5445	2943	1089	2096	1617	3571	2242	2172	9759	1192	1603	4405	5228	4955	1666	8315	5304	26903	5662	2727	3423	3168	5172	4578	9255	6293	5284	3435	22790	13936	1266	14936	2305	7247	5973	6104	4603	9003	53947	5335	2144	2391	12941	1464	2405	2502
*155*	433697	222043	peak area	1851	1244	2512	2494	3143	5464	4542	2280	1834	1924	1437	1633	1503	1831	2568	7834	6617	6269	7013	4994	2229	1393	7956	1575	1962	3654	2160	1840	1418	2061	4931	4218	2069	1232	1051	1306	2987	1339	1800	1353	3959	3777	4228	2889	2561	2499	1901	2487	2431	1791	2499	3163	2262	3700	2007	6651	4214	10136	3786	2438	1678	1423	1509	976	2788	1383	4069	1762	4203	2846	4666	1666	1983	1495	1732	2011	4855	2301	3895	4263	3855	1057	2291	2686	2631	1587	1582	3796	4374	4113	5015	6946	6137	1720	4043	3676	1924	2132	3967	6688	4240	3646	4465	3360	4641	3573	1865	2737	988	1282	929	2374	4146	6701	3370	2986	3707	3271	3137	1415	1797	1178	911	1491	1578
*204*	510479	222039	peak area	5266	4898	4174	6054	4645	8876	7254	987	950	788	385	652	745	3346	2605	8366	8187	6342	10226	3380	577	467	1955	378	782	949	2830	3378	3071	3566	4095	6596	4772	773	402	567	1405	548	674	636	3363	6500	8930	6665	5264	3667	2619	1293	689	658	604	6770	4148	860	8601	9985	11227	9144	4687	713	579	381	666	538	1280	579	9020	4132	8256	8101	10506	442	536	460	970	937	8217	4581	8827	8663	7132	414	746	830	976	679	446	7931	4809	5195	9287	9135	11622	777	2042	818	618	824	794	7460	9642	9263	10792	9102	8937	7671	1422	1231	521	1065	548	1075	6908	8915	177	6546	13282	8852	5282	594	458	374	386	574	462
*217*	355623	222037	peak area	3718	2964	1799	3578	3352	6114	4565	1717	1661	2992	1986	1277	1786	2515	2756	8260	6976	6527	7773	5133	1326	2140	7884	2048	2023	4769	2724	2588	2757	3261	6138	5923	2054	1825	1180	1347	2684	1488	2501	1572	3335	4912	6052	4996	3804	3508	3393	3553	3006	2556	2558	3473	2138	4342	2173	6583	4966	9034	4669	2812	1196	1933	2638	1112	3756	1113	4368	2717	4069	1988	6483	2192	2322	2177	1566	2262	5546	3157	5498	4962	5201	1361	2235	1649	3128	2220	2095	5047	3770	4548	5376	8527	7299	1359	2997	4428	1256	2870	1434	5750	5557	3507	6064	3966	5056	5296	2880	2035	894	999	760	3230	5346	6972	5128	3796	6227	3383	4240	2091	1667	937	1442	1847	1280
*129*	304857	222036	peak area	2597	1526	1370	4282	3220	5356	749	1584	1955	2068	2080	1522	1520	2434	723	13129	10882	9329	11322	5657	2596	2294	15521	2107	2124	5026	1412	2009	1549	2838	2680	4984	2793	1450	1573	1052	2576	1582	2390	2143	2753	1257	7294	15810	1805	4617	2838	2091	4286	2061	2104	2133	6986	3832	1175	6058	5389	14269	3132	1533	1178	1290	2256	1165	2697	1009	4247	1821	1714	405	4257	3288	2868	2351	2247	3785	3959	2836	1156	3609	2557	2376	3958	3811	3258	2010	3302	3600	4615	4801	6195	7753	5413	2637	5125	5669	1200	3436	354	5046	5234	4935	2936	6091	4592	5334	2159	2582	1063	1140	1279	2872	5508	2554	11094	4439	6878	7409	5396	883	2268	1327	1386	3051	1996
*157*	358101	222035	peak area	2973	1956	3557	2239	2061	5697	2891	4138	2035	848	1270	3213	347	2358	2553	11032	3492	1349	1922	1283	1004	442	1105	1008	2933	572	572	439	336	239	1096	681	429	420	158	1043	1062	937	714	694	320	626	807	653	589	480	372	604	956	663	308	6404	899	448	3408	3369	2709	2599	1488	446	1897	723	364	1020	1441	1099	3486	2844	5044	3721	4376	2204	4699	858	1512	1259	4818	3247	3751	3848	1852	1146	2634	331	1649	1431	786	3180	1006	3715	851	1631	2449	1431	4127	2421	3417	1888	586	910	3801	4815	3275	7330	3283	2298	2004	4702	797	2093	1578	1409	2771	3756	2066	3180	4022	3786	4178	345	2240	3722	508	1559	1599
*172*	333346	222029	peak area	1208	1621	696	4332	689	1500	1075	1679	2521	652	5824	3921	2177	1883	1112	13125	10411	1570	6450	3978	1482	454	11332	2471	2103	1280	370	1188	379	795	986	2223	5222	1429	600	1235	1271	1149	1989	2142	1444	1544	6300	3936	887	2140	1222	663	1720	1949	3444	4165	760	1199	1044	5702	7111	8181	1828	714	328	353	1357	1796	291	1459	2354	958	1973	763	1072	1224	5099	2090	3239	2393	1063	3468	4713	1859	1358	3203	2110	4340	2282	2266	1166	4746	5261	2180	4842	6153	1793	1316	3716	1375	2985	3166	256	5252	3714	4058	6989	8258	1645	5100	682	5163	714	704	219	686	2476	8285	2191	1473	11231	9303	1345	590	979	584	242	859	1191
*187*	485532	222022	peak area	21218	12610	73236	21030	13240	39940	22784	50704	33243	21929	22024	37328	17608	32349	19422	24682	21626	15197	29892	14429	29445	9107	10347	20833	22289	21481	5722	4126	4432	4991	16497	14855	9710	19348	15473	23109	46831	20940	21988	15416	6527	11563	16613	20269	13020	11641	5138	33091	18184	20090	8664	53414	16382	18218	46777	36038	36781	8793	38631	25646	36035	29096	20259	17334	18037	25540	35171	38101	79713	12865	73364	26758	32761	16259	27187	21295	47991	23452	13048	90561	34864	12663	20184	16190	26233	23906	9919	43849	10422	41126	8451	37138	54756	17915	58095	41489	25707	24264	12400	11385	12663	23472	22291	16702	23680	19653	18088	62820	22669	29074	22001	29680	27012	11667	429	23068	23346	14179	29051	16399	29123	23330	6635	14490	29294
*186*	270170	221670	peak area	3118	3340	3338	4443	2199	4799	5548	2567	3880	1950	1620	2082	1214	2386	2259	7894	5993	5032	8166	4457	1361	1933	128	2525	1126	2628	2857	3232	2484	2767	5686	3951	4880	1091	1647	1864	3596	1695	1759	2038	2928	4438	9264	8669	3481	3367	3287	1776	1310	2334	1681	2829	3915	2065	2256	4242	4350	3679	1742	1147	2188	1092	1433	1009	569	1284	3682	2327	3354	4654	5429	2397	1857	2329	2774	3514	3500	1995	4766	3733	3729	2113	2615	2542	2704	1689	1652	3591	3295	2793	4761	5169	4388	2150	6374	2864	3167	4196	2011	3643	2750	4773	7628	6724	4681	7837	2396	2831	2419	439	2017	2088	7585	10375	6556	5037	10069	12513	3751	1166	1853	931	902	1602	2615
*129*	331596	221619	peak area	7215	4250	5808	2211	5249	10701	8220	1070	2123	4497	3288	2763	2777	5031	6201	12874	11323	8600	11713	11435	2035	3536	3755	1708	3135	4259	6358	5514	6213	7521	9159	12502	4978	2489	2147	1510	6147	2189	3156	1950	3267	10521	7047	8561	8729	7132	5982	4232	7550	2842	1876	6660	3102	3043	3441	8968	7475	10238	7320	2484	1309	3923	2118	1087	8364	2106	5677	5131	5683	2213	9734	3363	2273	1837	2012	3073	5989	5091	5773	7573	5846	2268	4721	2611	3480	2085	2237	8130	3306	9911	3232	12270	11633	2772	3121	6737	1690	2255	3147	5545	9504	8043	16016	11400	16509	14552	3005	2927	524	979	1109	2839	12979	15658	2640	11324	13673	7420	13453	1586	3097	1016	1941	2242	2489
*110*	515722	221597	peak area	1083	2066	1229	1778	2166	3172	3411	1822	1448	1184	1051	1008	772	2036	1565	3558	3262	3191	4261	2512	1408	687	2730	1175	986	1777	1397	1067	1206	1025	2807	2818	1284	872	732	989	2174	831	1043	967	1390	2027	2688	2733	1661	2029	1239	1621	1278	1286	783	2714	2533	1424	1720	3384	2870	4084	2095	1264	931	979	978	705	1419	858	2147	1143	2546	1856	3750	1055	1438	993	1179	1419	2781	1327	3470	3006	2702	981	1129	1096	1483	1056	818	2880	1946	2468	2857	3512	3607	1194	2659	1882	1402	1432	1711	2891	2115	2294	2752	2248	2668	2852	1297	2443	1020	1098	893	1387	2632	4132	3775	1851	2913	3697	2326	684	979	980	435	669	896
*124*	427741	221589	peak area	1285	3439	1281	6499	118	5815	983	2297	3458	724	1891	2059	1511	2816	1412	10237	951	2380	450	1249	2213	97	4904	2136	1718	270	79	3420	44	148	130	10678	5369	2854	917	1963	2711	2013	3131	2516	140	709	7499	6695	2056	3726	3110	1229	2318	1301	2567	2520	1314	492	2443	5362	3833	9064	5573	1893	1008	1344	3174	2093	2544	1829	3568	1995	3600	572	162	1715	2816	2447	3439	3132	254	5807	6545	1976	1284	2074	1865	3236	2511	2577	1802	1020	305	3781	734	16955	622	57	4987	523	987	3170	117	1373	6934	1659	8114	4208	288	4875	1702	3137	1691	1371	1065	1201	850	5784	554	856	8690	3850	945	1592	2258	921	1033	1722	2571
*86*	286711	221586	peak area	3270	107149	83253	76955	6118	13514	8493	179904	5841	5510	10170	21362	2589	107985	25291	18838	18500	13977	12923	10927	44394	2263	10252	25725	19737	3297	5333	3827	4549	4161	3573	6772	5339	11696	4764	51398	4301	31831	4724	13407	7501	8197	3382	7030	8343	9379	3653	6776	4676	8673	2718	58386	130845	5780	79936	12882	9638	15718	9697	7616	84993	3802	4413	48887	681	25745	52541	21000	41890	186916	16982	4374	6589	3034	21868	11058	8734	10026	30439	33878	14918	2382	5038	8320	5568	21097	4029	7031	7193	8907	15230	11482	17584	5113	54365	9664	139683	6028	18697	10183	5154	14825	15791	22128	8596	14066	1584	83009	53243	49618	3661	9770	14184	12890	9042	7193	11764	69753	11330	2021	17554	44367	1560	2854	24869
*190*	383515	221578	peak area	6958	5335	6538	6154	6524	12169	10750	6635	4257	5035	3973	4399	3304	5196	5552	15094	14836	11062	12242	9902	3673	3236	14711	3880	3919	7470	5417	4480	5216	5262	12003	10861	5100	3924	4031	3346	8746	3461	4587	3280	8905	9612	12865	8592	8797	7552	5603	6963	5157	4876	4730	8165	7188	6885	5415	10419	9957	16114	8569	5863	4165	4015	5500	2410	6871	3702	9924	5823	8946	5754	13316	4164	4973	4016	4791	4831	9404	6555	7865	10454	10427	4007	6999	5484	5534	4511	3291	8639	8927	9142	12907	12644	15486	4028	9904	8113	4691	4708	1661	13052	9773	8206	9158	5720	5857	7558	5212	7174	1438	3644	1502	5768	7509	5586	10308	4547	7133	5189	5494	4853	4607	2839	2218	3406	4254
*203*	426517	221577	peak area	6048	6083	4268	9471	14091	14255	18241	3552	4384	4416	3282	2412	8791	5880	6648	6047	5743	5667	5217	3538	487	1408	11069	1233	1389	2776	5550	5284	5644	7625	16020	12540	7831	2090	1501	2003	6976	2213	4299	2598	5656	9679	16999	12117	6746	7324	7477	3969	2160	1539	3039	6886	1959	4109	7235	29501	17060	40368	13957	8098	2641	2078	6836	1820	6962	2845	15511	5694	8369	12218	15527	2483	1434	3887	4030	3885	21630	10863	19605	13440	18366	1490	1291	3593	1536	1063	1520	14379	20861	11658	29728	27017	18773	2848	3938	2503	1113	1950	1586	28609	24506	9873	3454	2341	2532	2583	6159	8674	2131	4764	1612	9296	2898	4366	1782	1900	3100	2768	2398	8819	5350	2064	2910	4356	3729
*174*	633358	221575	peak area	5133	13469	8623	12572	4181	9501	14930	9879	8713	5910	4998	5226	6362	10790	6610	12240	410	13056	11704	12627	8829	3932	5688	5244	4578	9976	796	5424	838	5567	10424	13359	10144	5084	4476	5878	8308	5344	5759	4183	8552	11085	6577	16649	9310	10989	8208	9052	7254	2564	6265	3637	3887	9677	10354	19002	14674	9544	11467	7840	7218	4559	7140	6011	7348	5440	14378	8648	13296	10951	3359	5181	7798	6161	7860	944	8991	7221	17777	16278	12013	3306	2390	8376	7872	8008	4758	11777	11384	9261	11698	22449	19456	2204	17229	8631	3634	10976	183	17022	9619	536	18185	5782	1697	14026	5528	11630	5644	5250	5172	7131	10021	12761	21	6112	17093	1909	2865	5994	7035	1620	3659	4387	7168
*85*	354121	221574	peak area	29363	47055	28575	37384	51928	68571	55247	36440	30026	34933	33180	24101	45345	36115	28598	20581	17634	16705	23009	15276	7334	15868	18623	12438	8845	27946	5350	6652	6461	8800	20469	14141	9559	22842	17795	25194	45207	21194	28712	23831	9768	8665	18299	17239	11842	16329	12889	16775	16539	12360	12843	29968	8048	23044	41416	91633	62427	63549	44654	31194	26149	20904	31706	17997	45412	23896	51847	29414	26687	37372	73249	12391	11816	11958	13451	10462	56664	37910	60734	57220	41717	7617	13332	14734	16510	9119	15144	64625	58202	57352	67372	12146	84340	12603	41186	26334	11283	23315	7372	68280	64700	45459	49340	40934	50212	50091	41247	40996	22488	24218	19764	46173	44489	76849	42679	29278	54557	54706	36180	27192	33843	18364	24243	23609	22400
*171*	306065	221568	peak area	8095	9168	6811	12051	8624	16239	12234	6297	7643	6116	4594	4450	2885	9061	6621	25281	25054	17820	28756	14085	5330	5100	27834	6050	5236	8082	4384	3368	4381	5541	6387	8947	4314	2990	2716	3953	6580	3150	4687	4268	7433	5182	11008	10276	5390	6632	5365	5159	6266	4539	5700	8294	5029	7143	7371	20803	15851	30523	10446	4816	5030	2729	5536	3052	4568	2683	10577	7349	9715	7448	18178	6274	8921	5642	5194	7182	18087	9353	14281	13571	15089	3683	6623	9901	8441	5566	5503	16190	13908	13539	20841	21236	21061	6859	12048	11356	5849	8743	2909	20636	13809	10716	11173	12455	15848	16883	5573	8323	5220	4275	4457	6436	16711	17452	25573	10914	19211	21848	11028	3859	4094	3733	2671	3999	3746
*191*	361440	221462	peak area	11593	7426	5912	9196	6342	13367	9375	6572	5864	6279	5470	6295	3717	4337	4009	14141	6571	11724	14937	8947	26313	6784	35	6362	17468	10236	3267	4313	2527	4665	12126	11420	6326	5756	3625	4677	13090	5061	6831	5743	7322	9610	14183	12109	8166	7396	6366	6875	3567	5553	6219	74969	59375	9352	52484	9436	6223	3798	5398	8773	8035	3162	4412	3834	12585	5687	6972	4956	5279	6688	14773	4787	4349	3923	4648	4414	5853	2475	8454	8678	6127	2425	4334	4743	6657	13133	4679	5815	4793	5005	7374	9543	5094	3258	9071	10966	7878	6710	4015	7336	5343	26896	12446	11771	10821	12434	8075	17566	2671	3454	2208	6778	12692	14666	13678	7743	12568	12423	9875	4869	3256	3800	3942	5638	3633
*120*	626139	220384	peak area	27239	10738	7787	9079	10256	18273	16063	10651	11462	9813	7165	7748	9694	8670	6140	11990	8866	8993	10973	8026	1926	6044	6987	2891	5356	11538	4795	5336	5700	7788	8723	10321	8528	4449	4561	8115	14352	5993	7744	6307	7665	10942	12774	12388	8831	8461	7292	4587	4897	3729	3483	8338	8262	5619	17546	16952	17184	11804	7387	8234	8927	4706	8537	5244	7154	10060	20433	7773	12755	14601	19062	5496	2732	5448	7625	5364	19831	9689	22205	23844	17880	2840	5950	6554	6585	4479	3141	19742	17319	14861	18473	28209	24836	3228	19763	10290	7781	8725	7753	13655	13309	11616	12391	14934	13512	12383	11015	22422	10669	12752	9411	22047	12490	14455	9700	8867	13680	13222	10023	6553	6769	5040	9727	7004	6144
*204*	681536	220129	peak area	726	2579	1497	637	488	852	192	3382	3920	2405	2212	2789	444	256	806	1656	3322	266	491	1178	132	256	5777	718	363	1226	242	246	494	167	1378	612	624	2089	1419	1599	4160	806	2819	2073	1057	1440	3068	3424	2609	1106	361	542	2107	168	623	813	1292	192	466	1218	555	386	240	1523	2881	1602	2365	1176	2657	1491	369	808	927	377	452	2465	592	164	226	697	1872	725	850	1320	171	1456	1642	3833	1922	2767	2585	2318	1543	1702	416	1950	297	188	543	299	1255	755	389	187	2083	3719	956	1339	365	265	3533	9704	3045	3936	2776	3729	298	1217	205	1045	640	1569	81	805	287	228	112	662	355
*98*	445431	220102	peak area	58744	78664	67552	95567	77722	147283	124904	54604	47105	36790	31677	34551	54925	70253	47320	46537	45430	33028	56879	25122	14741	10131	45170	12592	12877	22952	31424	26753	31744	36086	68430	64055	41582	29487	21812	30439	68953	29820	37616	29780	22062	53629	103274	90709	45569	46598	48201	53879	12472	13485	12893	80270	43455	19028	78340	180542	149619	234552	74773	49812	37625	29024	33345	23141	54850	29918	121711	63827	98831	79958	139873	23767	19871	34673	40380	45637	157560	82868	114563	133475	129142	23246	18766	16692	15609	14027	9928	146254	129437	107644	190237	191241	178392	36827	29129	21583	13708	18003	1459	179509	137491	106083	37881	21800	31261	33575	54094	89590	37475	44329	38967	66966	27316	38438	79965	19930	38241	41420	19568	55546	55901	26836	17818	26457	35591
*89*	460514	220031	peak area	36869	46273	47068	69341	51427	96188	75118	48242	41933	31785	28572	32401	24264	54613	38270	123030	115761	87172	156169	73794	30807	23959	144182	37700	37346	60569	30418	21783	28376	34574	36493	57313	33708	26453	16660	27972	61173	24860	29882	23587	62755	43015	57052	53047	26793	41782	27975	50020	41659	39885	40897	71668	29575	53270	51638	102583	92472	136434	62360	48836	33444	27228	41035	19684	49399	26557	69530	44608	60216	44748	99237	31832	54006	31026	43317	41124	96721	50923	67939	87256	83337	20103	36607	51465	48307	40351	25467	94441	75064	68029	106926	116601	114192	35394	85318	66134	39003	46811	68	103091	69938	60488	92117	69170	83198	87736	23345	56254	24429	28202	24676	36732	83223	76328	112779	56250	103495	96074	65356	34593	22525	17038	15700	26144	32558
*224*	558665	220029	peak area	4996	7504	6266	9458	6754	11642	7205	6408	5514	5546	4839	5497	3735	7145	6747	14876	14793	11882	18249	10139	3235	3087	15997	4881	4689	8236	7227	6587	4223	7683	16370	14705	9249	5032	3121	5493	10639	4734	6071	6644	7049	12339	18580	17825	10413	11284	8209	8991	5383	5103	4533	10789	11826	7469	8702	16536	14091	18735	9604	7751	6404	4298	6443	5713	9044	5410	10677	5449	8696	8586	8142	4978	6357	5613	7788	10902	14446	4816	8995	13063	12243	5366	7016	6176	5676	5339	3503	14651	10273	10403	13896	18918	10210	5748	11471	7540	6434	6233	5212	13686	12163	14527	16648	12361	14726	15374	4664	7894	3780	2663	3504	5200	13630	17313	18657	10194	19829	19195	10058	4013	4574	4428	3015	4416	6074
*203*	336337	220015	peak area	28064	15758	17683	31296	39932	53155	49740	6987	10464	12993	8754	6735	20905	12593	20256	43119	37259	32358	34041	25856	3835	8197	68729	7002	6375	15356	31308	23838	29039	27619	75394	60868	38981	11440	7266	5314	38072	9612	8915	11639	11663	43175	80239	64037	41737	41079	20879	25125	10789	14748	6530	26498	14344	17541	11266	54599	40494	43963	37638	19620	6123	6847	17567	7756	18195	7791	35309	21604	25421	19690	57965	8887	9099	11660	12520	18982	53785	25532	68761	38607	58221	8713	10321	6099	8768	6893	7280	36565	20722	31311	25027	35379	56496	8638	18679	13101	5137	11082	18939	35419	52367	41388	45071	30308	31243	35217	26095	12995	5453	8722	5313	19375	35203	48831	23965	24717	38816	17949	26346	16014	12318	3074	15273	17965	8381
