Quantification Ion	Retention Index	Name	units	a332129	a332133	a332137	a332141	a332145	a332149	a332153	a332157	a332161	a332165	a332169	a332173	a332181	a332185	a332189	a332193	a332197	a332201	a332205	a332209	a332217	a332221	a332225	a332229	a332233	a332237	a332241	a332245	a332249	a332253	a332257	a332261	a332265	a332269	a332273	a332277	a332281	a332285	a332289	a332293	a332297	a332301	a332305	a332309	a332313	a332317	a332321	a332325	a332329	a332333	a332337	a332341	a332345	a332349	a332353	a332361	a332365	a332369	a332373	a332381	a332385	a332389	a332393	a332397	a332401	a332405	a332409	a332413	a332417	a332421	a332429	a332437	a332445	a332449	a332457	a332461	a332469	a332477	a332481	a332485	a332489	a332493	a332497	a332501	a332505	a332509	a332513	a332525	a332529	a332533	a332537	a332541	a332545	a332549	a332553	a332557	a332561	a332565	a332569	a332577	a332581	a332585	a332589	a332593	a332597	a332601	a332605	a332609	a332613	a332617	a332625	a332629	a332633	a332637	a332641	a332645	a332649	a332653	a332657	a332661	a332665	a332669	a332673	a332677	a332685
*117*	750645	heptadecanoic acid	peak area	5240	3899	3137	12760	8380	5827	5709	2883	2233	2582	2410	1833	1570	3209	3231	3778	3138	3082	3904	10446	1242	2826	2329	1290	1299	7817	3881	1572	2020	2847	5345	5706	3499	3093	6072	2804	3474	3947	1704	1525	3396	3791	4793	6950	4716	3726	3456	1645	4088	1204	3101	4771	5380	1755	7665	7196	5874	4051	4000	1926	4174	3241	1903	2006	2557	2008	6937	2454	3766	2947	4485	2069	1551	1438	2037	2195	4150	2739	5136	3770	3184	3892	3806	1728	3374	4553	3802	5901	3442	6694	4464	5985	5230	1036	4466	1871	3669	2574	2061	5157	4441	8936	5396	5465	6432	6517	1925	3134	2140	2428	1901	2818	4151	5651	3884	2677	3514	5962	2639	3464	1275	1454	2591	1192	2247
*177*	227487	glycolic acid	peak area	7918	3833	11309	11297	6901	13621	4007	6733	15720	7890	2375	1796	4379	235	13698	22897	15661	15739	19861	14981	2730	4778	7587	18359	20938	3938	4679	4449	4556	3493	9079	10336	1118	3880	4249	8344	1081	12823	7684	3331	3169	7576	1464	3424	9495	2563	3065	15109	10922	10066	6543	385	13294	11283	12963	12958	15618	18287	14904	6257	13680	4287	5041	45	616	1018	14080	5435	2217	15653	17473	8755	18390	5418	6557	6622	26298	4341	8545	26685	12070	8272	10192	5808	11372	921	6927	20749	5632	16145	8026	21390	25707	12422	23592	21442	3317	17185	1560	4960	13368	6499	11419	15602	18342	6048	1201	19924	11386	9690	11773	8243	20818	23877	5329	16446	4359	7608	16556	4455	9325	40	3058	5700	11734
*174*	368041	glycine	peak area	6689	8988	2791	152967	3144	8879	2805	31915	42968	34559	34417	44245	35909	6511	2526	7441	3791	1702	3147	2749	15854	17537	33540	33927	32072	55505	4407	3368	2669	2511	3248	4202	2378	37996	23453	23324	68622	25759	2936	21523	2676	2401	4251	3075	4155	1781	1776	21926	42778	21835	32050	3037	2668	33281	11447	3218	5733	7451	1950	41120	37619	23618	50412	21415	18305	25197	8660	4231	3305	2445	3836	49758	35483	29919	32533	21503	3066	4593	8721	3798	3683	27491	32499	28068	50679	36469	38714	5982	2392	7512	4139	8340	4178	27202	48117	38800	25498	34452	46901	2906	5667	4669	4297	7527	3007	4910	59207	63854	31080	39486	32198	44895	6450	4857	5965	2743	5383	5193	3647	39891	40735	18287	19734	21530	20868
*299*	591357	glycerol-alpha-phosphate	peak area	610	483	308	680	678	1205	1280	877	1641	1398	2007	1408	632	203	544	137	365	1396	667	1063	747	1262	2703	690	717	3041	342	299	366	1187	1585	1611	1195	1335	539	1833	2209	1440	1165	1296	214	366	524	3494	426	1017	1150	1942	682	774	438	144	300	2155	349	989	1426	939	3422	1690	2305	1057	1514	562	730	1659	3134	480	1540	861	780	1494	2040	1793	1005	2239	451	147	2644	1515	1066	1014	979	1352	1203	866	662	684	1775	2697	505	4369	2737	1007	4453	1949	1350	2715	305	433	295	226	2879	229	517	1421	1234	2002	1763	1489	745	1653	640	379	199	395	994	333	208	1296	1731	1037	981	350	3031
*205*	658866	glucose	peak area	491	235	97	417	119	289	170	1172	1977	1431	1954	1187	243	197	104	232	222	93	93	189	109	139	57	138	160	535	54	58	74	204	104	116	73	698	1514	1277	1904	280	1055	642	112	151	137	211	148	103	63	167	451	107	159	63	130	123	316	76	251	218	47	718	1662	765	676	587	748	732	420	133	65	70	79	1031	383	92	109	188	165	3476	67	160	65	633	1646	972	1043	1188	639	303	148	929	223	278	76	66	240	168	837	206	218	129	115	367	88	483	41	136	1081	2899	1469	1254	1117	961	227	196	208	72	171	282	62	337	169	124	66	302	85
*307*	642325	fructose	peak area	1241	237	103	652	256	1399	131	290	585	652	2986	1275	142	679	156	443	139	71	262	152	172	111	64	406	315	1023	61	21	107	119	230	114	289	411	621	343	470	209	341	170	213	87	154	192	113	222	103	251	470	142	523	141	186	182	1436	255	746	341	109	465	579	157	221	123	337	357	833	207	82	83	235	3083	699	97	183	297	423	98	421	170	182	550	574	126	611	594	490	847	229	550	474	386	223	65	200	303	2753	477	413	162	174	1327	120	439	150	352	315	1809	835	621	891	416	337	221	305	149	213	451	122	924	580	255	105	1242	74
*339*	780799	elaidic acid (put)	peak area	107	1294	367	66	134	185	1443	157	112	241	81	13	104	292	151	133	218	206	299	649	202	100	139	86	32	196	101	53	82	154	253	195	121	400	33	405	60	45	442	91	132	124	208	420	263	275	131	469	224	47	397	125	234	97	926	1149	992	294	738	440	123	256	590	367	76	284	1089	1194	974	152	794	39	10	274	191	1044	220	61	1409	1538	1348	222	25	389	35	592	51	437	817	291	270	1642	1821	59	1052	64	39	615	40	983	100	146	1098	119	160	187	65	545	253	41	220	116	140	134	123	103	217	193	128	186	477	23	47	35	576
*273*	617288	citric acid	peak area	488	1677	149	3144	210	414	105	6894	863	886	1473	615	3003	464	146	796	423	154	273	1083	1235	445	453	349	1968	3731	70	82	82	119	203	161	965	155	894	2109	404	1243	1483	116	291	93	174	130	99	276	96	1770	699	1821	1862	305	259	1443	335	231	328	199	154	2219	6251	3155	1897	3418	2032	732	619	1543	319	543	446	2529	3004	1301	9193	731	258	242	300	254	107	618	1162	1108	700	1333	689	809	616	550	847	765	327	169	1090	1400	2559	457	750	157	591	594	194	793	108	190	5506	7727	3815	2782	1507	954	391	661	150	2641	637	725	325	9589	36679	51761	36292	42226	10909
*129*	1077630	cholesterol	peak area	111101	323849	141739	174916	206219	195699	287131	14450	34111	22053	24445	12073	10231	330302	255730	165418	297910	107967	259986	241153	9553	16386	76979	10955	15279	33488	204637	108806	73139	237993	291369	281096	412230	5358	9311	10099	28968	12054	10862	9347	140708	297411	225707	422970	180801	308885	226594	6693	43657	8766	7945	234438	350017	17637	153669	160505	185915	46781	134247	8674	18721	15708	11716	5494	45832	10600	209550	164014	101942	143728	170348	9695	13510	13155	19285	15578	133008	90927	134537	130655	149938	6052	18107	13826	17444	16701	16575	183583	137447	299932	239585	191083	203083	7334	31061	10905	26309	20828	15921	182251	156668	186989	189204	168233	262181	281243	20149	30702	10791	17469	14208	24060	142771	186861	4027	246522	282563	381397	187733	5875	3191	14251	25731	7041	17249
*117*	451122	capric acid	peak area	11746	11446	10955	13609	15016	26967	24680	6846	5951	10935	8701	4101	7917	9920	11783	33698	17743	17495	21838	9694	3529	3562	28368	5968	8056	12932	14225	10784	8450	13168	17575	11948	23689	9502	4391	5685	25013	7077	4937	7422	8723	30034	22313	28576	16399	17958	15256	8402	10676	7556	7332	18247	14610	11093	22174	27166	32229	20662	10994	15698	9345	3746	8881	4155	17809	5623	20757	10451	19805	15279	29066	9502	6281	8576	10213	8675	15093	16613	20833	21545	22816	6215	9698	8025	5235	5261	5277	30067	14429	21799	48632	36375	14117	8655	20804	13984	9976	4258	5113	23345	26233	20969	31949	14864	13160	24814	8908	10481	5907	11293	4434	11291	20028	21800	12790	10438	32889	23093	14902	9052	5716	2847	4764	4083	5189
*129*	840079	butyl stearate	peak area	32872	10099	39583	785	575	26475	14587	3069	560	3270	11348	7301	1227	1082	36190	11813	528	8941	20782	9426	9383	125	2026	293	13864	7069	24009	7401	8245	172	12816	21283	7619	5840	8589	16179	6633	9813	15721	13192	235	223	8526	3475	5904	1348	379	7777	3194	143	189	39339	13624	3125	51279	13380	3592	17267	579	389	29445	3476	219	1100	8229	8754	1179	14991	37050	3214	23027	9334	645	6211	387	18536	1782	5182	1137	1559	664	5691	418	136	4231	8833	8517	21811	983	50275	546	20602	1643	1718	769	2758	168	294	678	1020	9027	15764	11888	20710	23631	23022	5470	23771	2490	5078	5560	9480	24713	3662	3749	27440	7331	1042	19364	265	9186	4981	135	3008	3385
