rowID	N170f	B150f	G100m	I180f	N110m	E270f	blank4	neat_qc2	pooled_qc2	E280m	blank1	G150f	B190m	H150m	H140f	O120f	L100f	I190f	M270m	F110m	blank2	blank3	neat_qc1	pooled_qc1	O110m	F140f	L120m	M280f
met_4007	48100	47500	47800	54700	47100	43600	51800	48200	48900	46900	65800	48400	43300	47500	36400	48300	45200	45000	42500	45800	53400	58100	66500	57900	59800	51000	52000	52300
met_4020	45000	45300	44000	44600	42900	52500	41500	57900	38800	40200	85800	42100	49600	39300	56500	43300	39800	36000	36900	39100	52600	48900	53700	52900	61700	59100	46400	49700
met_4023	30800	14800	52400	43000	27800	299000	19200	101000	0	0	150000	16000	32200	37600	59700	16800	13300	13000	19400	18700	52600	0	0	0	0	38200	42400	42200
met_4079	48800	45600	42400	45800	44800	69400	47000	58600	38000	46400	75200	36000	44300	40700	59900	39200	36500	36500	41800	36800	50400	54200	60700	47500	55400	61900	49600	55200
met_4083	52200	51100	49400	50300	58300	51400	45700	47600	48300	51500	88600	48000	55300	44000	9370	50700	43000	38900	39700	43200	50200	54900	58800	60000	61200	52200	55100	49900
met_4086	46500	46500	43200	39600	45800	40900	41400	41900	43000	38900	49100	43700	43900	45300	38400	45800	35400	38700	34900	36700	50000	55300	49800	45000	49400	50300	46200	48300
met_4099	27400	211000	486000	28900	429000	343000	204000	4140	0	76400	5410000	25200	161000	58400	1210000	309000	33200	37100	15600	49800	0	0	0	0	536000	2280000	3040000	793000
met_413	2010000	3230000	1400000	1400000	1240000	2370000	224000	193000	1580000	2160000	275000	2240000	2580000	1530000	781000	1640000	1930000	877000	952000	1880000	330000	316000	330000	2450000	1190000	1440000	2490000	1200000
met_4130	75600	671000	1210000	107000	1520000	9040	735000	0	0	590000	1620000	826000	10900	629000	0	864000	632000	795000	541000	122000	3540	0	0	0	744000	20100	2000000	1100000
met_4132	4000	36300	232000	13000	102000	81800	43800	2500	0	45100	1570000	146000	218000	86300	267000	81400	19600	9970	23500	15300	0	0	0	0	111000	588000	535000	102000
met_4137	78800	822000	1400000	107000	1830000	0	848000	5110	0	637000	1460000	961000	4990	704000	0	1040000	695000	894000	594000	134000	0	0	0	0	967000	13600	2420000	1320000
met_4205	62100	50800	66100	25500	44800	89800	48000	19700	26300	53900	476000	42700	35200	31800	79900	24700	18900	22700	47900	140000	34800	21800	22400	28500	55700	55000	130000	177000
met_4208	20500	314000	478000	36300	319000	44000	98400	0	0	176000	469000	59800	133000	122000	232000	324000	223000	42300	123000	33100	9190	4550	0	2630	256000	295000	153000	326000
met_4246	296000	67400	282000	497000	69800	514000	87700	195000	11300	26800	359000	218000	231000	237000	324000	219000	304000	208000	460000	150000	479000	11500	13400	12900	14400	207000	213000	438000
met_4256	39200	178000	264000	45900	337000	140000	192000	38900	17300	120000	330000	214000	169000	165000	201000	202000	174000	246000	129000	58400	57800	16300	17400	20700	173000	87400	435000	222000
met_4282	20300	143000	246000	22100	334000	116000	157000	14500	5700	132000	283000	192000	158000	121000	327000	198000	141000	267000	133000	35500	5360	5730	15900	4980	142000	116000	452000	263000
met_4289	192000	205000	168000	179000	188000	157000	182000	30500	158000	169000	274000	169000	193000	183000	20900	161000	143000	154000	149000	149000	209000	215000	230000	232000	198000	48600	195000	199000
met_4297	261000	235000	255000	212000	217000	182000	194000	5060	219000	209000	256000	209000	205000	217000	193000	188000	201000	204000	225000	206000	203000	237000	299000	247000	243000	245000	229000	274000
met_4300	204000	181000	183000	191000	184000	27400	195000	29200	189000	174000	253000	170000	172000	201000	153000	189000	164000	73300	152000	166000	222000	226000	251000	227000	223000	44400	190000	186000
met_4317	386000	5870000	337000	280000	195000	1380000	175000	3660	2470000	796000	243000	2310000	295000	521000	7700	292000	20000000	295000	1050000	337000	195000	186000	191000	2420000	281000	1240000	2870000	512000
met_4320	13500	52400	130000	16400	146000	0	24400	0	0	54100	238000	40600	65100	95600	0	42100	76400	19700	41700	13600	0	0	0	0	64100	97000	62200	192000
