Source Name	Characteristics_organism	Term Source REF	Term Accession Number	Characteristics_Organism_part	Term Source REF	Term Accession Number	Protocol REF	sampleID	Factor Value[Batch]	Term Source REF	Term Accession Number
C04	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_C04	batch_03		
C05	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_C05	batch_03		
C06	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_C06	batch_03		
C07	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_C07	batch_03		
C08	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_C08	batch_03		
C09	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_C09	batch_03		
C10	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_C10	batch_03		
QC12	Bos taurus/NCBITAXON:Ovis aries	NCBITAXON		right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_QC12	batch_03		
QC13	Bos taurus/NCBITAXON:Ovis aries	NCBITAXON		right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_QC13	batch_03		
QC14	Bos taurus/NCBITAXON:Ovis aries	NCBITAXON		right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_QC14	batch_03		
QC15	Bos taurus/NCBITAXON:Ovis aries	NCBITAXON		right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_QC15	batch_03		
S01	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S01	batch_03		
S02	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S02	batch_03		
S03	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S03	batch_03		
S04	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S04	batch_03		
S05	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S05	batch_03		
S06	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S06	batch_03		
S07	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S07	batch_03		
S08	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S08	batch_03		
S09	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S09	batch_03		
S10	Ovis aries	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9940	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch03_S10	batch_03		
B02	blank			blank			Sample collection	batch04_B02	batch_04		
C01	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch04_C01	batch_04		
C02	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch04_C02	batch_04		
C03	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch04_C03	batch_04		
C04	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch04_C04	batch_04		
C05	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch04_C05	batch_04		
C06	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch04_C06	batch_04		
C07	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch04_C07	batch_04		
C08	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	right ventricle	BTO	http://purl.obolibrary.org/obo/BTO_0001630	Sample collection	batch04_C08	batch_04		
